Date,APPLE INC. (XNAS:AAPL),JPMORGAN CHASE & CO. (XNYS:JPM),EXXON MOBIL CORPORATION (XNYS:XOM),PFIZER INC. (XNYS:PFE),THE PROCTER & GAMBLE COMPANY (XNYS:PG),"THE HOME DEPOT, INC. (XNYS:HD)",CATERPILLAR INC. (XNYS:CAT),"TESLA, INC. (XNAS:TSLA)",AT&T INC. (XNYS:T),AMERICAN TOWER CORPORATION (XNYS:AMT),Novo Nordisk A/S (XNYS:NVO),Sony Group Corporation (XNYS:SONY),Sap Se (XETR:SAP),BP P.L.C. (XNYS:BP),Nestle Ltd. (OTCM:NSRGY),YPF SA (XNYS:YPF),Vale SA (BVMF:VALE3),ICICI BANK LIMITED (XNYS:IBN),"Pacific Airport Group, S.A.B. de CV (XNYS:PAC)",PT Telkom Indonesia (Persero) Tbk (XNYS:TLK)
1/1/22,177.57,158.35,61.19,59.05,163.58,415.01,206.74,352.26,18.58,292.50,56.00,25.28,124.90,26.63,140.37,3.82,74.37,19.79,134.99,28.99
2/1/22,172.39,152.56,81.41,53.00,161.53,359.67,198.41,307.77,18.18,246.43,49.84,21.82,109.18,32.88,129.00,4.10,83.93,21.55,137.01,29.30
3/1/22,163.17,134.40,84.09,48.65,155.14,324.26,195.66,279.43,18.03,238.28,52.06,19.69,96.77,28.01,126.97,4.34,97.27,17.46,131.06,30.46
4/1/22,174.31,135.31,83.12,51.57,155.09,301.89,219.77,361.53,18.11,256.95,56.46,20.58,99.75,29.84,131.42,5.05,92.49,19.22,160.85,31.83
5/1/22,157.28,123.72,91.69,49.04,156.00,294.31,214.65,288.55,20.03,244.07,55.68,16.73,91.64,31.86,124.80,4.12,76.08,18.51,141.57,31.73
6/1/22,145.38,130.16,99.09,53.20,145.89,305.08,222.90,234.51,20.90,266.73,56.21,18.53,93.61,32.98,119.10,4.44,84.38,19.07,144.20,29.57
7/1/22,138.93,114.05,87.55,52.31,146.11,279.08,178.29,227.26,21.31,258.40,55.82,16.34,86.70,28.28,118.00,3.32,71.64,17.94,135.72,27.25
8/1/22,165.35,115.76,88.45,49.27,144.72,309.69,185.39,288.17,18.35,272.19,51.60,17.26,92.23,29.66,120.55,3.75,64.87,21.21,137.01,31.20
9/1/22,155.81,113.71,95.59,45.70,137.16,291.90,180.83,270.21,17.19,250.85,51.12,15.45,85.32,31.13,113.95,5.82,60.02,21.84,142.26,30.30
10/1/22,138.20,104.50,87.31,43.76,126.25,275.94,164.08,265.25,15.34,214.70,49.82,12.81,84.12,28.55,107.61,6.21,65.19,20.97,124.49,28.85
11/1/22,138.38,130.68,112.31,47.22,134.44,284.03,227.85,207.47,18.32,203.92,56.21,14.92,96.24,33.92,109.06,8.04,68.92,22.44,157.66,26.83
12/1/22,147.81,135.16,109.86,50.91,150.61,327.99,236.13,194.86,19.02,219.37,63.45,16.56,106.46,35.36,120.32,8.26,82.80,23.20,154.30,25.62
1/1/23,129.62,137.94,110.53,50.92,153.92,317.53,248.86,113.06,19.53,218.50,69.32,16.28,102.34,34.46,119.69,9.45,88.09,21.27,159.07,24.10
2/1/23,154.50,141.09,111.92,44.06,142.61,331.50,247.76,189.98,19.83,222.06,68.40,18.63,112.28,35.15,120.73,11.18,84.85,20.81,177.21,25.60
3/1/23,151.03,143.66,112.81,41.15,140.95,298.45,255.31,197.79,18.81,202.50,72.45,17.15,109.38,40.22,114.92,11.93,85.19,21.23,188.84,26.02
4/1/23,164.90,130.31,109.66,40.80,148.69,295.12,228.84,207.46,19.25,204.34,79.57,18.13,116.06,37.94,121.69,10.98,76.59,21.58,191.58,27.27
5/1/23,173.57,136.74,108.68,38.49,156.03,289.62,215.09,170.06,17.13,196.75,81.62,18.77,122.18,37.13,130.70,11.39,65.86,22.95,174.04,28.60
6/1/23,180.95,140.47,105.76,38.36,146.52,295.94,226.63,213.97,15.21,191.15,78.57,19.60,124.36,35.65,120.67,11.48,64.81,23.09,173.67,27.49
7/1/23,193.97,145.44,107.25,36.68,151.74,310.64,246.05,261.77,15.95,193.94,80.92,18.01,125.14,35.29,120.35,14.89,61.26,23.08,175.49,26.67
8/1/23,181.99,156.02,107.42,35.02,155.28,326.43,276.44,253.86,14.00,184.77,78.30,18.04,121.56,36.80,118.95,14.07,64.45,23.55,177.99,24.06
9/1/23,189.46,146.82,113.52,35.78,154.51,333.08,286.25,245.01,14.65,180.79,94.66,17.05,128.20,38.13,118.89,14.21,65.72,23.46,175.38,24.17
10/1/23,177.49,145.10,107.17,33.13,144.09,292.82,266.04,260.53,14.45,159.57,92.12,16.59,123.56,37.27,110.89,11.40,63.78,23.06,129.82,24.30
11/1/23,176.65,143.00,107.78,31.26,150.07,295.61,240.75,219.96,15.88,190.57,98.17,17.48,129.28,36.20,110.65,10.72,67.92,22.84,125.90,23.13
12/1/23,191.24,156.84,102.99,28.91,152.66,319.62,256.76,238.83,16.76,210.47,100.40,17.23,146.70,35.98,113.90,16.15,71.75,22.97,149.58,25.05
